study_condition,final_irt_score_mean
interactive,0.2970794869586825
interactive,1.2700230646133424
interactive,-0.5269330507516861
interactive,1.248320220708847
interactive,-0.1246276741288602
interactive,1.2631447970867158
interactive,0.2955337965488434
interactive,0.7702613335847854
interactive,0.7859532558917999
interactive,-0.0886429859884083
interactive,-0.9251510202884674
interactive,-0.1612584035657346
interactive,-0.1954341447725892
interactive,-0.5588945326209068
static,0.2998372748494148
interactive,0.7521890640258789
interactive,0.2886861979216337
interactive,0.2774088409170508
interactive,0.7473355400562286
interactive,-0.1459820219315588
interactive,0.2997042201086878
interactive,-0.5583035254478455
interactive,-0.5778775769472122
interactive,-0.140507934987545
interactive,-0.515741863399744
interactive,0.2771160814305767
interactive,-0.9204803669452668
interactive,0.3042735980264842
interactive,0.7648406338691711
interactive,0.3393116384744644
interactive,-0.5330494290590286
interactive,0.2704449407383799
interactive,0.2581120076589286
interactive,0.2722895658295601
interactive,0.3100500195100903
interactive,1.2738460731506347
interactive,0.3132911399379373
interactive,0.721286010146141
interactive,0.7806598365306854
interactive,-0.9197679293155672
interactive,-0.94807683467865
interactive,-0.5491624259948731
interactive,-0.5454870569705963
interactive,1.2318778598308564
interactive,0.6984087932109833
interactive,0.3295115825347602
interactive,-0.5732768660783768
interactive,0.7218472182750701
interactive,0.7946079248189926
interactive,-0.1387331458739936
interactive,-0.1138615339435637
interactive,0.2750131434947252
interactive,0.3153721413016319
interactive,0.2630197687353939
static,-0.5743365657329559
static,0.766463268995285
static,-0.168407554347068
static,-1.3086363911628722
static,-0.9324550414085389
static,-0.1288012775313109
static,-0.1459399347938597
static,-0.1567724794521927
static,-0.9274740862846376
static,-1.3285009741783145
static,-0.1558239498920738
static,0.7537327897548676
static,0.8044969666004181
static,-0.1294035508669913
static,0.2731450132280588
static,0.2767715250700712
static,-0.1752269656769931
static,-0.5293345135450364
static,-0.116618427131325
static,-0.1005934745259582
static,-0.5335128808021545
static,0.314707469381392
static,0.3241697717830539
static,-0.9516942596435548
static,-0.537949386537075
static,-0.561065294444561
static,-0.1085990858823061
static,0.2715250450000167
static,-0.9241642427444458
static,0.784316326379776
static,0.7621334415674209
static,-0.5520622137188912
static,-0.519014541208744
static,-0.5612295681238174
static,-1.3176045656204225
static,-0.9349040508270264
static,-0.1243514079041779
static,0.3238567911088467
static,-0.1440484947990626
static,0.2875672112777829
static,-0.1394870902970433
static,-0.5467672410607338
static,-0.1680104228667915
static,0.2796586157009005
static,-0.5841084218025208
static,0.2948539963364601
static,-0.1252300399169325
static,-1.2912475538253785
static,0.2857067148387432
static,-0.1550447926297783
static,0.7456187278032302
static,0.7512185657024384
static,-0.5368484479188919
