study_condition,intro_avg_confidence
interactive,1.0
interactive,2.4
interactive,0.9
interactive,3.0
interactive,2.1
interactive,1.3
interactive,1.8
interactive,2.6
interactive,2.4
interactive,2.8
interactive,1.2
interactive,2.3
interactive,1.2
interactive,1.6
static,2.0
interactive,2.4
interactive,2.2
interactive,3.8
interactive,1.9
interactive,2.6
interactive,1.3
interactive,1.0
interactive,2.0
interactive,0.9
interactive,2.2
interactive,1.9
interactive,2.2
interactive,3.0
interactive,1.1
interactive,1.2
interactive,1.9
interactive,2.3
interactive,2.5
interactive,1.1
interactive,1.1
interactive,2.8
interactive,1.6
interactive,2.8
interactive,1.0
interactive,1.8
interactive,0.3
interactive,1.3
interactive,3.0
interactive,2.8
interactive,2.4
interactive,2.2
interactive,1.2
interactive,1.1
interactive,2.7
interactive,2.2
interactive,2.9
interactive,0.5
interactive,2.4
interactive,2.8
static,2.1
static,1.5
static,2.2
static,2.1
static,1.6
static,1.2
static,0.9
static,0.6
static,2.2
static,3.0
static,1.1
static,0.7
static,2.5
static,2.1
static,3.0
static,1.3
static,-0.1
static,1.1
static,2.0
static,2.5
static,2.6
static,2.7
static,1.7
static,3.0
static,2.0
static,2.5
static,1.8
static,2.1
static,0.7
static,3.5
static,2.9
static,1.4
static,1.3
static,1.8
static,2.3
static,1.3
static,1.2
static,3.5
static,1.4
static,1.0
static,2.7
static,1.2
static,2.7
static,2.1
static,1.5
static,2.5
static,2.1
static,2.0
static,1.3
static,3.2
static,1.4
static,1.5
static,1.8
