study_condition,intro_irt_score_mean
interactive,-0.1521702900342643
interactive,0.2270230547338724
interactive,0.6192181569337845
interactive,-0.1210965841636061
interactive,-0.5111017383635044
interactive,0.6941087818145752
interactive,-0.552204754948616
interactive,0.6457586839795113
interactive,-0.9451281070709228
interactive,0.2606710559874773
interactive,-0.1263210369646549
interactive,0.2591629375331103
interactive,0.6543354374170304
interactive,-0.1179103863611817
static,0.2581130224466323
interactive,-0.9223116314411164
interactive,-0.5172549438476562
interactive,0.2506995123066008
interactive,-0.5318432289361954
interactive,-0.1576336171850562
interactive,0.2401337711513042
interactive,-0.9163412570953368
interactive,0.2695880258455873
interactive,0.6966252970695496
interactive,0.2399342630803585
interactive,0.2239299510791897
interactive,-0.1445708396285772
interactive,-0.141194025631994
interactive,0.6707851523160935
interactive,1.1298885846138
interactive,-0.1506070462800562
interactive,0.6641693538427353
interactive,-0.5307535915076733
interactive,1.614870889186859
interactive,0.695870099067688
interactive,1.097010631561279
interactive,0.700526008605957
interactive,-0.1401157386228442
interactive,0.2595595811679959
interactive,-0.1411804246902465
interactive,-1.322870787382126
interactive,-0.5411408971250057
interactive,-0.1523818718083202
interactive,-0.5458775305747986
interactive,1.1242469131946564
interactive,-0.1482327227294445
interactive,0.2916398544609546
interactive,0.2530131936073303
interactive,-0.5120193308591843
interactive,0.243563560321927
interactive,-0.8598370945453644
interactive,-0.508895354270935
interactive,-0.5103985100984574
interactive,0.2416512709483504
static,0.2675359334051609
static,0.2792195472121239
static,-0.1426395078748464
static,0.2625440657883882
static,-0.5300341859459877
static,-0.1457258747238665
static,0.7007171106338501
static,0.2271981542278081
static,-0.5153138484060764
static,-0.5304864671826363
static,-0.1203568731062114
static,0.2560835257917642
static,0.6573992192745208
static,-0.121547852801159
static,0.2712989721633494
static,-0.5500515511631966
static,-0.146728476434946
static,-0.4848655773699283
static,-0.523860912322998
static,0.2505653713271021
static,-0.1332876887917518
static,0.2694848438352346
static,0.2907891715317964
static,0.2300144244730472
static,-0.155616904804483
static,-0.8806046962738037
static,0.2708655255101621
static,-0.1788631548732519
static,-0.5336718986928463
static,0.2469147502817213
static,-0.1645270251668989
static,-1.3036581838130952
static,-0.5208078944683074
static,-0.9110574960708618
static,-0.4986309048533439
static,-0.9223133552074432
static,0.2670810661651194
static,1.179679583311081
static,-0.5237764593958855
static,-0.5290479964017868
static,0.2460957936942577
static,-0.1072956002131104
static,0.256691282549873
static,0.2524866547435522
static,0.6835447198152542
static,0.6988120573759079
static,-0.5251140269637108
static,-0.9207624566555024
static,-0.5215102742984891
static,0.697854608297348
static,0.6368408286571503
static,0.7341499692201614
static,1.1093354046344757
